2017-08-31,Acolman,O3,26.375995635986
2017-09-30,Acolman,O3,22.752031326294
2017-10-31,Acolman,O3,27.297538757324
2017-11-30,Acolman,O3,25.509323120117
2017-12-31,Acolman,O3,17.332452774048
2018-01-31,Acolman,O3,12.447808265686
2018-02-28,Acolman,O3,20.3291015625
2018-03-31,Acolman,O3,29.626096725464
2018-04-30,Acolman,O3,31.392148971558
2018-05-31,Acolman,O3,31.048601150513
2018-06-30,Acolman,O3,25.970840454102
2018-07-31,Acolman,O3,29.056121826172
2018-08-31,Acolman,O3,24.605573654175
2018-09-30,Acolman,O3,23.563100814819
2018-10-31,Acolman,O3,27.195491790771
2018-11-30,Acolman,O3,23.591165542603
2018-12-31,Acolman,O3,25.228477478027
2019-01-31,Acolman,O3,26.707006454468
